A.J. Greer:741,666
Aaron Dell:1,900,000
Aaron Ekblad:7,500,000
Aaron Luchuk:759,166
Aaron Ness:650,000
Adam Boqvist:925,000
Adam Brooks:759,167
Adam Clendening:700,000
Adam Cracknell:650,000
Adam Erne:800,000
Adam Gaudette:916,666
Adam Helewka:705,000
Adam Henrique:4,000,000
Adam Johnson:925,000
Adam Larsson:4,166,666
Adam Lowry:2,916,666
Adam Mascherin:775,000
Adam McQuaid:2,750,000
Adam Morrison:null
Adam Musil:732,500
Adam Ollas Mattsson:null
Adam Pelech:1,600,000
Adam Plant:null
Adam Ruzicka:null
Adam Tambellini:650,000
Adam Wilcox:null
Adin Hill:725,833
Adrian Kempe:894,167
Aidan Dudas:null
Akil Thomas:null
Al Montoya:1,062,500
Alan Quine:700,000
Alec Martinez:4,000,000
Alec Regula:null
Aleksander Barkov:5,900,000
Aleksi Saarela:753,333
Alex Barre-Boulet:759,258
Alex Belzile:null
Alex Biega:825,000
Alex Broadhurst:725,000
Alex Chiasson:null
Alex D'Orio:716,666
Alex Debrincat:778,333
Alex Dostie:759,167
Alex Formenton:753,333
Alex Galchenyuk:4,900,000
Alex Gallant:650,000
Alex Goligoski:5,475,000
Alex Gudbranson:null
Alex Iafallo:925,000
Alex Kannok-Leipert:null
Alex Killorn:4,450,000
Alex Lintuniemi:650,000
Alex Lyon:750,000
Alex Nedeljkovic:811,667
Alex Ovechkin:9,538,462
Alex Overhardt:null
Alex Petrovic:1,950,000
Alex Pietrangelo:6,500,000
Alex Schoenborn:717,500
Alex Stalock:650,000
Alex Tuch:925,000
Alexandar Georgiev:792,500
Alexander Alexeyev:null
Alexander Chmelevski:775,833
Alexander Edler:5,000,000
Alexander Kerfoot:925,000
Alexander Khovanov:null
Alexander Nylander:863,333
Alexander Radulov:6,250,000
Alexander Steen:5,750,000
Alexander True:null
Alexander Volkov:864,167
Alexander Wennberg:4,900,000
Alexandre Alain:753,333
Alexandre Carrier:688,333
Alexandre Fortin:706,666
Alexandre Grenier:null
Alexei Lipanov:null
Alexey Toropchenko:null
Alexis Gravel:null
Anders Bjork:925,000
Anders Lee:3,750,000
Anders Nilsson:2,500,000
Andre Burakovsky:3,000,000
Andreas Athanasiou:3,000,000
Andreas Borgman:925,000
Andreas Englund:775,833
Andreas Johnson:null
Andreas Martinsen:650,000
Andrei Svechnikov:925,000
Andrei Vasilevskiy:3,500,000
Andrej Sekera:5,500,000
Andrej Sustr:1,300,000
Andrew Agozzino:650,000
Andrew Campbell:650,000
Andrew Cogliano:3,250,000
Andrew Copp:1,000,000
Andrew Hammond:650,000
Andrew Ladd:5,500,000
Andrew MacDonald:5,000,000
Andrew Mangiapane:705,000
Andrew Nielsen:697,500
Andrew O'Brien:null
Andrew Oglevie:925,000
Andrew Poturalski:700,000
Andrew Shaw:3,900,000
Andy Andreoff:677,500
Andy Greene:5,000,000
Andy Sturtz:null
Andy Welinski:690,000
Angus Redmond:842,500
Anthony Angello:833,750
Anthony Beauvillier:894,167
Anthony Bitetto:650,000
Anthony Cirelli:728,333
Anthony Deangelo:863,333
Anthony Duclair:650,000
Anthony Greco:667,500
Anthony Louis:775,000
Anthony Mantha:3,300,000
Anthony Peluso:650,000
Anthony Peters:null
Anthony Richard:688,333
Anthony Stolarz:761,250
Antoine Bibeau:675,000
Antoine Morand:775,833
Antoine Roussel:3,000,000
Antoine Waked:726,667
Anton Blidh:650,000
Anton Forsberg:750,000
Anton Khudobin:2,500,000
Anton Lindholm:717,500
Anton Rodin:750,000
Anton Stralman:4,500,000
Antti Niemi:950,000
Antti Palojarvi:null
Antti Raanta:4,250,000
Antti Suomela:925,000
Anze Kopitar:10,000,000
Artem Anisimov:4,550,000
Artemi Panarin:6,000,000
Artturi Lehkonen:839,166
Ashton Sautner:675,000
Austin Czarnik:1,250,000
Austin Fyten:null
Austin Poganski:750,000
Austin Strand:759,166
Austin Wagner:759,167
Austin Watson:1,100,000
Auston Matthews:925,000
Axel Andersson:825,833
Axel Holmstrom:686,667
Axel-Jonsson Fjallby:860,000
Barclay Goodrow:650,000
Barrett Hayton:925,000
Beck Malenstyn:736,666
Ben Betker:null
Ben Bishop:4,916,666
Ben Chiarot:1,400,000
Ben Gleason:null
Ben Harpur:725,000
Ben Hutton:2,800,000
Ben Jones:null
Ben Lovejoy:2,666,667
Ben Sexton:725,000
Ben Street:750,000
Ben Thomas:690,000
Ben Thompson:null
Benoit-Olivier Groulx:null
Blaine Byron:null
Blake Coleman:1,800,000
Blake Comeau:2,400,000
Blake Hillman:925,000
Blake Pietila:667,500
Blake Siebenaler:695,000
Blake Speers:728,333
Blake Wheeler:5,600,000
Bo Horvat:5,500,000
Bobby Butler:null
Bobby Farnham:null
Bobby Ryan:7,250,000
Bogdan Kiselevich:925,000
Bokondji Imama:706,667
Boo Nieves:null
Boone Jenner:3,750,000
Boris Katchouk:833,333
Brad Hunt:650,000
Brad Malone:650,000
Brad Marchand:6,125,000
Brad Morrison:743,333
Brad Richardson:1,250,000
Brad Thiessen:null
Braden Christoffer:null
Braden Holtby:6,100,000
Bradley Lalonde:null
Brady Austin:null
Brady Brassart:null
Brady Ferguson:null
Brady Gilmour:null
Brady Skjei:5,250,000
Brady Tkachuk:925,000
Brandon Anselmini:null
Brandon Carlo:789,167
Brandon Crawley:770,000
Brandon Davidson:null
Brandon Dubinsky:5,850,000
Brandon Halverson:772,500
Brandon Hickey:925,000
Brandon Manning:2,250,000
Brandon Montour:3,387,500
Brandon Pirri:650,000
Brandon Saad:6,000,000
Brandon Saigeon:null
Brandon Sutter:4,375,000
Brandon Tanev:1,150,000
Brayden Burke:925,000
Brayden McNabb:2,500,000
Brayden Pachal:null
Brayden Point:686,667
Brayden Schenn:5,125,000
Braydon Coburn:3,700,000
Brendan De Jong:null
Brendan Gallagher:3,750,000
Brendan Gaunce:750,000
Brendan Guhle:697,500
Brendan Leipsic:650,000
Brendan Lemieux:839,167
Brendan Perlini:863,333
Brendan Smith:4,350,000
Brendan Woods:null
Brenden Dillon:3,270,000
Brenden Kotyk:null
Brennan Menell:716,666
Brent Burns:8,000,000
Brent Seabrook:6,875,000
Brett Connolly:1,500,000
Brett Davis:null
Brett Gallant:null
Brett Howden:863,333
Brett Kulak:900,000
Brett Lernout:653,333
Brett McKenzie:null
Brett Pesce:4,025,000
Brett Pollock:711,667
Brett Ritchie:1,750,000
Brett Sutter:null
Brian Boyle:2,750,000
Brian Cooper:null
Brian Dumoulin:4,100,000
Brian Elliott:2,750,000
Brian Flynn:650,000
Brian Gibbons:1,000,000
Brian Lashoff:650,000
Brian Pinho:833,750
Brock Boeser:925,000
Brock McGinn:887,500
Brock Nelson:4,250,000
Brooks Macek:650,000
Brooks Orpik:1,000,000
Bryan Little:5,291,666
Bryan Moore:null
Bryan Rust:3,500,000
Buddy Robinson:700,000
Byron Froese:650,000
C.J. Motte:null
C.J. Smith:874,125
C.J. Suess:792,500
Cal Clutterbuck:3,500,000
Cal O'Reilly:700,000
Cal Petersen:925,000
Cale Fleury:null
Caleb Jones:720,000
Calen Addison:null
Callan Foote:null
Calle Jarnkrok:2,000,000
Calle Rosen:925,000
Callum Booth:741,667
Calvin De Haan:null
Calvin Pickard:800,000
Calvin Thurkauf:715,000
Cam Atkinson:5,875,000
Cam Dineen:745,000
Cam Fowler:6,500,000
Cam Talbot:4,166,667
Cam Ward:3,000,000
Cameron Gaunce:650,000
Cameron Hebig:759,166
Cameron Hughes:792,500
Cameron Schilling:650,000
Carey Price:10,500,000
Carl Dahlstrom:750,833
Carl Grundstrom:925,000
Carl Gunnarsson:2,900,000
Carl Hagelin:4,000,000
Carl Persson:725,000
Carl Soderberg:4,750,000
Carsen Twarynski:775,833
Carson Soucy:925,000
Carter Bancks:null
Carter Camper:null
Carter Hart:730,833
Carter Hutton:2,750,000
Carter Rowney:1,133,333
Carter Verhaeghe:650,000
Casey Cizikas:3,350,000
Casey Desmith:675,000
Casey Mittelstadt:925,000
Casey Nelson:812,500
Cavan Fitzgerald:656,667
Cedric Paquette:1,000,000
Cedric Pare:null
Chad Johnson:1,750,000
Chad Ruhwedel:650,000
Chandler Stephenson:650,000
Charles Hudon:650,000
Charles-David Beaudoin:null
Charlie Coyle:3,200,000
Charlie Lindgren:750,000
Charlie McAvoy:916,667
Charlie Sampair:null
Chase Balisy:650,000
Chase De Leo:null
Chase Lang:686,667
Chase Wouters:null
Chaz Reddekopp:733,333
Chris Bigras:874,125
Chris Breen:null
Chris Butler:650,000
Chris Driedger:null
Chris Forney:null
Chris Kreider:4,625,000
Chris Kunitz:1,000,000
Chris Martenet:703,333
Chris Mueller:650,000
Chris Nell:925,000
Chris Summers:650,000
Chris Terry:675,000
Chris Thorburn:900,000
Chris Tierney:2,937,500
Chris Wagner:1,250,000
Chris Wideman:1,000,000
Christian Djoos:650,000
Christian Dvorak:839,167
Christian Fischer:821,666
Christian Folin:800,000
Christian Jaros:755,000
Christian Wolanin:925,000
Christoffer Ehn:759,167
Christopher Tanev:4,450,000
Clark Bishop:695,000
Claude Giroux:8,275,000
Clayton Keller:885,833
Cliff Pu:745,000
Cody Bass:null
Cody Ceci:4,300,000
Cody Donaghey:641,667
Cody Eakin:3,850,000
Cody Glass:894,166
Cody Goloubef:650,000
Cody McLeod:750,000
Colby Cave:675,000
Colby McAuley:null
Colby Williams:751,000
Cole Bardreau:650,000
Cole Fraser:null
Cole Kehler:745,000
Cole Schneider:650,000
Colin Blackwell:675,000
Colin Campbell:null
Colin Greening:null
Colin Larkin:690,000
Colin Markison:null
Colin McDonald:null
Colin Miller:3,875,000
Colin White:925,000
Colin Wilson:3,937,500
Collin Delia:767,500
Colton Beck:null
Colton Parayko:5,500,000
Colton Point:925,000
Colton Sceviour:1,200,000
Colton Sissons:625,000
Conner Bleackley:700,000
Connor Brickley:650,000
Connor Brown:2,100,000
Connor Bunnaman:736,666
Connor Carrick:1,300,000
Connor Clifton:725,000
Connor Corcoran:null
Connor Dewar:null
Connor Hellebuyck:6,166,666
Connor Hobbs:720,000
Connor Ingram:759,167
Connor McDavid:12,500,000
Connor Murphy:3,850,000
Conor Garland:680,000
Conor Sheary:3,000,000
Conor Timmins:925,000
Cooper Marody:925,000
Corban Knight:650,000
Corbin Boes:null
Corey Crawford:6,000,000
Corey Perry:8,625,000
Corey Tropp:null
Cory Conacher:650,000
Cory Schneider:6,000,000
Craig Anderson:4,750,000
Craig Smith:4,250,000
Curtis Douglas:null
Curtis Lazar:950,000
Curtis McElhinney:850,000
Curtis McKenzie:750,000
D'artagnan Joly:null
Dakota Mermis:700,000
Dale Weise:2,350,000
Dalton Prout:800,000
Damien Giroux:null
Damon Severson:4,166,666
Dan Desalvo:null
Dan Girardi:3,000,000
Dan Hamhuis:1,250,000
Dan Renouf:null
Dane Birks:755,000
Danick Martel:715,000
Daniel Audette:668,333
Daniel Brickley:925,000
Daniel Bukac:null
Daniel Carr:750,000
Daniel Sprong:750,000
Daniel Vladar:728,333
Daniel Walcott:650,000
Daniel Winnik:null
Danny DeKeyser:null
Danny O'Regan:874,125
Dante Salituro:725,000
Danton Heinen:872,500
Darcy Kuemper:1,850,000
Darian Pilon:null
Darren Archibald:650,000
Darren Helm:3,850,000
Darren Raddysh:730,000
Dave Gust:null
David Backes:6,000,000
David Drake:null
David Kampf:925,000
David Kase:768,333
David Krejci:7,250,000
David Pastrnak:6,666,666
David Perron:4,000,000
David Pope:925,000
David Rittich:800,000
David Savard:4,250,000
David Schlemko:2,100,000
David Sklenicka:null
David Tendeck:null
David Ullstrom:650,000
David Warsofsky:675,000
Dawson Barteaux:null
Dawson Leedahl:749,167
Dean Kukan:725,000
Declan Chisholm:null
Denis Gurianov:894,166
Denis Malgin:690,000
Dennis Busby:null
Dennis Cholowski:894,166
Dennis Everberg:650,000
Dennis Gilbert:925,000
Dennis Yan:728,333
Dereck Baribeau:750,000
Derek Forbort:2,525,000
Derek Grant:650,000
Derek MacKenzie:1,375,000
Derek Ryan:3,125,000
Derek Stepan:6,500,000
Derick Brassard:3,000,000
Derrick Pouliot:1,100,000
Deryk Engelland:1,500,000
Devan Dubnyk:4,333,333
Devante Smith-Pelly:1,000,000
Devante Stephens:743,333
Deven Sideroff:728,333
Devin Shore:2,300,000
Dillon Dube:778,333
Dillon Heatherington:650,000
Dillon Simpson:675,000
Dion Phaneuf:5,250,000
Dmitri Samorukov:855,833
Dmitrii Sergeev:644,167
Dmitrij Jaskin:1,100,000
Dmitry Kulikov:4,333,333
Dmitry Orlov:5,100,000
Dmitry Sokolov:765,000
Dmitry Zavgorodniy:null
Dmytro Timashov:693,333
Dominic Toninato:925,000
Dominic Turgeon:686,667
Dominik Kahun:925,000
Dominik Masin:808,333
Dominik Shine:null
Dominik Simon:750,000
Dougie Hamilton:5,750,000
Doyle Somerby:725,000
Drake Batherson:736,666
Drake Caggiula:1,500,000
Drake Pilon:null
Drake Rymsha:733,333
Drew Doughty:7,000,000
Dryden Hunt:809,167
Duncan Keith:5,538,462
Duncan Siemens:null
Dustin Brown:5,875,000
Dustin Byfuglien:7,600,000
Dustin Tokarski:650,000
Dylan Blujus:null
Dylan Coghlan:716,666
Dylan DeMelo:900,000
Dylan Ferguson:716,666
Dylan Gambrell:925,000
Dylan Larkin:6,100,000
Dylan Macpherson:null
Dylan McIlrath:650,000
Dylan Sadowy:880,833
Dylan Sikura:925,000
Dylan Strome:863,333
Dylan Wells:745,000
Dysin Mayo:678,333
Eamon McAdam:925,000
Edward Pasquale:650,000
Eeli Tolvanen:894,166
Eli Zummack:null
Elias Lindholm:4,850,000
Elias Pettersson:925,000
Emerson Clark:null
Emerson Etem:null
Emil Johansson:784,166
Emil Pettersson:742,500
Eric Comrie:650,000
Eric Cornel:717,500
Eric Fehr:1,000,000
Eric Florchuk:null
Eric Martinsson:925,000
Eric Robinson:null
Eric Staal:3,500,000
Erik Brannstrom:894,166
Erik Burgdoerfer:650,000
Erik Cernak:697,500
Erik Condra:700,000
Erik Foley:925,000
Erik Gudbranson:4,000,000
Erik Gustafsson:1,200,000
Erik Haula:2,750,000
Erik Johnson:6,000,000
Erik Karlsson:6,500,000
Esa Lindell:2,200,000
Ethan Bear:720,000
Ethan Prow:650,000
Etienne Marcoux:null
Evan Bouchard:925,000
Evan Cormier:null
Evan Fitzpatrick:770,000
Evan McEneny:657,500
Evan Polei:null
Evan Rodrigues:650,000
Evan Weinger:null
Evander Kane:7,000,000
Evgeni Malkin:9,500,000
Evgenii Dadonov:null
Evgeny Kuznetsov:7,800,000
Evgeny Svechnikov:863,333
Fedor Gordeev:null
Filip Chlapik:728,333
Filip Chytil:894,166
Filip Forsberg:6,000,000
Filip Gustavsson:761,666
Filip Hronek:714,166
Filip Pyrochta:767,500
Filip Sandberg:767,500
Filip Zadina:925,000
Francis Perron:703,333
Frank Hora:null
Frank Vatrano:925,000
Frans Nielsen:5,250,000
Frederic Allard:714,166
Frederick Gaudreau:666,666
Frederik Andersen:5,000,000
Frederik Gauthier:675,000
Frederik Tiffels:742,500
Fredrik Claesson:700,000
Gabriel Bourque:950,000
Gabriel Carlsson:894,166
Gabriel Dumont:650,000
Gabriel Fontaine:736,667
Gabriel Fortier:null
Gabriel Gagne:742,500
Gabriel Landeskog:5,571,429
Gabriel Vilardi:925,000
Gage Quinney:715,000
Garnet Hathaway:850,000
Garret Cockerill:null
Garret Sparks:675,000
Garrett McFadden:null
Garrett Pilon:745,000
Garrett Wilson:650,000
Gavin Bayreuther:925,000
Gemel Smith:720,000
Gerald Mayhew:null
German Rubtsov:894,166
Gerry Fitzgerald:null
Gilbert Brule:null
Giorgio Estephan:null
Giovanni Fiore:701,667
Giovanni Vallati:null
Givani Smith:714,166
Glenn Gawdin:775,833
Graham Knott:728,333
Grant Besse:null
Grayson Downing:null
Greg Carey:650,000
Greg McKegg:715,000
Greg Pateryn:2,250,000
Gregor Macleod:null
Griffen Molino:null
Griffin Reinhart:800,000
Guillaume Brisebois:697,500
Gustav Bouramman:720,000
Gustav Forsling:872,500
Gustav Nyquist:4,750,000
Gustav Olofsson:725,000
Hampus Gustafsson:883,750
Hampus Lindholm:5,205,556
Harri Sateri:750,000
Harry Zolnierczyk:null
Hayden Verbeek:753,333
Haydn Fleury:863,333
Henri Jokiharju:925,000
Henrik Borgstrom:925,000
Henrik Lundqvist:8,500,000
Henrik Samuelsson:null
Hubert Labrie:null
Hudson Elynuik:null
Hudson Fasching:874,125
Hunter Drew:null
Hunter Holmes:null
Hunter Miska:925,000
Hunter Shinkaruk:650,000
Hunter Warner:636,667
Ian Cole:4,250,000
Ian McCoshen:925,000
Ian Scott:null
Igor Merezhko:null
Igor Ozhiganov:925,000
Igor Shvyrev:null
Ilya Kovalchuk:6,250,000
Ilya Lyubushkin:925,000
Ilya Samsonov:925,000
Isaac Ratcliffe:811,666
Isac Lundestrom:925,000
Ivan Barbashev:741,667
Ivan Chekhovich:773,333
Ivan Kulbakov:null
Ivan Lodnia:770,000
Ivan Prosvetov:null
Ivan Provorov:894,167
J.C. Lipon:null
J.T. Brown:687,500
J.T. Compher:925,000
J.T. Miller:5,250,000
Jaccob Slavin:5,300,000
Jack Campbell:675,000
Jack Dougherty:695,000
Jack Eichel:10,000,000
Jack Johnson:3,250,000
Jack Kopacka:745,000
Jack Rodewald:706,250
Jack Roslovic:894,166
Jack Skille:null
Jack Studnicka:800,000
Jackson Leppard:null
Jacob Cederholm:null
Jacob De La Rose:null
Jacob Golden:null
Jacob Graves:750,833
Jacob Ingham:null
Jacob Larsson:894,166
Jacob Macdonald:750,000
Jacob Markstrom:3,666,667
Jacob McGrew:null
Jacob Middleton:735,000
Jacob Moverare:706,666
Jacob Nilsson:925,000
Jacob Paquette:null
Jacob Trouba:5,500,000
Jaden Schwartz:5,350,000
Jagger Dirk:null
