DOB ,Birth City ,S/P ,Ctry ,HT ,Wt ,C ,Rk ,Draft ,Rnd ,Ovrl ,Age,Last Name,First Name,Team ,GP ,GS ,W,L ,OT ,SA ,Sv ,GAA,SV%,G ,A ,PIM ,MIN,SO ,PSA,PS Sv ,StGA,StSV,StMIN,QS,RBS,PULL,StSV%,StGAA,QS%,GR,ReGA,ReSV,ReMIN,ReGAA,ReSV%,Type,Status,Expiry,Salary,Cap Hit,GP,GGVT,DGVT,SGVT,GVT,GVS,GPS,ESA,ESV,ESSV%,SHSA,SHSV,SHSV%,PPSA,PPSV,PPSV%,HSOW,HSOL,HSSA,HSGA,RSOW,RSOL,RSSA,RSGA,SOW,SOL,SSA,SGA,SOSV%,,GS,SA,SV,ExpSV,Gsupp,SV%,ExpSV%,DIFF,Ginj,Injury
Aug 06 '92,Tampere,,FIN,73,174,L,Y,2010,4,107,22,Aittokallio,Sami,COL,1,1,0,1,0,18,15,4.50,.833,0,0,0,40,0,0,0,3,15,40,0,1,1,0.8333,4.50,0.0%,,,,,,,EL,RFA,2015,"$680,000.00","$900,000.00",0.7,-1.1,0,0,-1.1,-2.2,-0.1,13,10,.769,1,1,1.000,4,4,1.000,,,,,,,,,,,,,,SAMI AITTOKALLIO,1,18,15,16,2.00,0.8333,0.9085,-0.0752,,
Oct 02 '89,Herning,,DNK,76,230,L,Y,2012,3,87,25,Andersen,Frederik,ANA,28,24,20,5,0,783,723,2.29,.923,0,1,0,1569,0,0,0,55,667,1436,13,0,0,0.9238,2.30,54.2%,4,5,56,133,2.26,.918,EL,RFA,2016,"$925,000.00","$1,775,000.00",26.2,9.7,-0.1,1.1,10.7,7.0,5.6,651,604,.928,14,12,.857,118,107,.907,0,0,0,0,1,0,4,0,1,0,4,0,.000,FREDERIK ANDERSEN,24,783,723,719,3.61,0.9234,0.9180,0.0054,3,Upper body
May 21 '81,Park Ridge,IL,USA,74,184,L,,2001,3,73,33,Anderson,Craig,OTT,53,52,25,16,8,1680,1530,3.00,.911,0,1,2,3000,4,1,1,150,1521,2980,26,10,5,0.9102,3.02,50.0%,1,0,9,20,0.00,1.000,,UFA,2015,"$3,500,000.00","$3,187,500.00",50,3.7,-2.2,-0.2,1.3,-6.6,9.5,1365,1263,.925,50,44,.880,265,223,.842,2,1,8,2,1,2,7,3,3,3,15,5,.333,CRAIG ANDERSON,52,1680,1530,1535,2.96,0.9107,0.9136,-0.0029,7,"Head, Undisclosed"
Jul 25 '87,Salt Lake City,UT,USA,70,176,L,,2006,4,120,27,Bachman,Richard,EDM,3,3,0,2,1,83,76,3.02,.916,0,0,0,139,0,0,0,7,76,139,1,2,1,0.9157,3.02,33.3%,,,,,,,,RFA,2014,"$625,000.00","$625,000.00",2.3,0.4,-0.1,-0.9,-0.6,-0.8,0.5,72,65,.903,0,0,,11,11,1.000,0,0,0,0,0,1,3,2,0,1,3,2,.667,RICHARD BACHMAN,3,83,76,76,0.31,0.9157,0.9190,-0.0034,16,Groin
Feb 13 '78,Helsinki,,FIN,74,197,L,,,,,36,Backstrom,Niklas,MIN,21,19,5,11,2,546,491,3.02,.899,0,0,0,1094,0,1,0,54,476,1053,8,3,2,0.8981,3.08,42.1%,2,1,15,41,1.46,.938,35+ ,UFA,2016,"$2,500,000.00","$3,416,667.00",18.2,-4.7,0,-1,-5.7,-14.3,2.3,423,385,.910,11,9,.818,112,97,.866,0,1,2,2,1,0,4,1,1,1,6,3,.500,NIKLAS BACKSTROM,19,546,491,498,2.23,0.8993,0.9130,-0.0137,30,"Knee, Lower body, Abdominal, Concussion"
Aug 07 '88,Laval,QC,CAN,72,185,L,,2006,1,11,26,Bernier,Jonathan,TOR,55,49,26,19,7,1787,1649,2.68,.923,0,1,4,3084,1,1,1,131,1544,2862,29,5,4,0.9218,2.75,59.2%,6,7,105,222,1.89,.938,,RFA,2015,"$2,400,000.00","$2,900,000.00",51.4,19.2,-2.5,-1,15.7,8.7,12.6,1462,1364,.933,55,47,.855,270,238,.881,4,1,13,2,1,3,12,7,5,4,25,9,.360,JONATHAN BERNIER,49,1787,1649,1633,3.01,0.9228,0.9138,0.0090,9,Lower body
Jan 03 '87,Bulach,,CHE,76,194,L,,2006,4,106,27,Berra,Reto,"CGY, COL",31,29,9,18,3,820,732,3.07,.893,0,0,2,1720,0,0,0,84,706,1637,15,7,4,0.8937,3.08,51.7%,2,4,26,83,2.89,.867,EL,UFA,2017,"$850,000.00","$1,381,250.00",28.7,-11.6,0.4,1.4,-9.7,-12.2,2.9,697,626,.898,11,9,.818,112,97,.866,3,0,13,3,1,0,8,2,4,0,21,5,.238,RETO BERRA,29,820,732,748,1.92,0.8927,0.9119,-0.0192,,
Aug 15 '77,Lac St. Charles,QC,CAN,74,186,L,,1995,1,16,37,Biron,Martin,NYR,2,1,0,1,0,38,29,7.61,.763,0,0,0,71,0,0,0,4,13,40,0,1,1,0.7647,6.00,0.0%,1,5,16,31,9.68,.762,,,,,,1.2,-4.7,0,0,-4.7,-3.1,-0.5,34,28,.824,0,0,,4,1,.250,,,,,,,,,,,,,,MARTIN BIRON,1,38,29,35,3.00,0.7632,0.9125,-0.1493,,
Nov 21 '86,Denver,CO,USA,79,214,L,,2005,3,85,28,Bishop,Ben,TBL,63,63,37,14,7,1758,1625,2.23,.924,0,2,4,3586,5,0,0,133,1625,3591,40,8,6,0.9243,2.22,63.5%,,,,,,,,UFA,2015,"$2,200,000.00","$2,300,000.00",59.8,23.2,0.1,3,26.4,21.2,12.9,1410,1314,.932,38,32,.842,310,279,.900,3,5,38,9,3,1,14,4,6,6,52,13,.250,BEN BISHOP,63,1758,1625,1608,2.98,0.9243,0.9149,0.0094,7,"Lower body, Wrist, Leg"
Sep 20 '88,Novokuznetsk,,RUS,74,182,L,,,,,26,Bobrovsky,Sergei,CBJ,58,58,32,20,5,1699,1568,2.38,.923,0,1,2,3299,5,2,2,131,1568,3299,34,5,7,0.9229,2.38,58.6%,,,,,,,,RFA,2015,"$5,000,000.00","$5,625,000.00",55,20.5,-0.6,0.7,20.5,5.3,12.1,1365,1271,.931,33,26,.788,301,271,.900,0,1,2,1,4,0,13,3,4,1,15,4,.267,SERGEI BOBROVSKY,58,1699,1568,1554,2.81,0.9229,0.9148,0.0081,13,"Groin, Lower body"
May 06 '72,Montreal,QC,CAN,74,220,L,,1990,1,20,42,Brodeur,Martin,NJD,39,39,19,14,6,971,875,2.51,.901,0,3,2,2297,3,1,1,96,875,2299,19,8,2,0.9011,2.51,48.7%,,,,,,,35+ ,UFA,2014,"$5,000,000.00","$4,500,000.00",38.3,-5.6,1.6,-2.6,-6.6,-18.5,4.4,780,707,.906,32,28,.875,159,140,.881,0,4,14,6,0,1,2,2,0,5,16,8,.500,MARTIN BRODEUR,39,971,875,887,2.87,0.9011,0.9135,-0.0124,,
Jun 22 '80,Togliatti,,RUS,75,213,L,,2000,2,44,34,Bryzgalov,Ilya,"EDM, MIN",32,30,12,9,8,891,810,2.68,.909,0,0,0,1814,4,0,0,78,793,1761,16,4,3,0.9104,2.66,53.3%,2,3,17,53,3.40,.850,,UFA,2014,"$2,000,000.00","$2,266,234.00",30.3,0.3,0.1,-1.3,-0.9,-6.0,4.9,724,668,.923,21,17,.810,146,125,.856,1,2,8,4,0,1,3,1,1,3,11,5,.455,ILYA BRYZGALOV,30,891,810,814,2.69,0.9091,0.9135,-0.0044,6,Concussion
Sep 18 '82,Banská Bystrica,,SVK,73,192,L,,2001,2,63,32,Budaj,Peter,MTL,24,21,10,8,3,615,559,2.51,.909,0,0,6,1338,1,0,0,53,530,1250,10,3,1,0.9091,2.54,47.6%,3,3,29,88,2.05,.906,,UFA,2015,"$1,400,000.00","$1,400,000.00",22.3,0.6,0.4,1.2,2.2,-0.4,3.4,501,458,.914,22,19,.864,92,82,.891,0,0,0,0,4,1,17,4,4,1,17,4,.235,PETER BUDAJ,21,615,559,561,2.40,0.9089,0.9125,-0.0035,,
Jan 09 '92,Port Huron,MI,USA,75,190,L,Y,2010,1,11,22,Campbell,Jack,DAL,1,1,0,1,0,47,41,6.00,.872,0,0,0,60,0,0,0,6,41,60,0,0,0,0.8723,6.00,0.0%,,,,,,,EL,RFA,2015,"$710,000.00","$1,340,000.00",1,-1.5,-0.2,0,-1.7,-4.1,0.0,29,26,.897,2,1,.500,16,14,.875,,,,,,,,,,,,,,JACK CAMPBELL,1,47,41,42,3.00,0.8723,0.9004,-0.0281,,
Jul 23 '77,Des Moines,IA,USA,74,201,L,,1997,8,215,37,Clemmensen,Scott,FLA,17,14,6,7,1,454,407,3.09,.896,0,1,0,914,0,0,0,44,379,848,7,3,0,0.896,3.11,50.0%,3,3,28,66,2.73,.903,,UFA,2014,"$1,300,000.00","$1,200,000.00",15.2,-4.8,0,-1.7,-6.4,-8.4,1.8,365,336,.921,13,12,.923,76,59,.776,1,0,10,3,0,1,3,3,1,1,13,6,.462,SCOTT CLEMMENSEN,14,454,407,413,2.69,0.8965,0.9105,-0.0140,,
Dec 31 '84,Montreal,QC,CAN,74,208,L,,2003,2,52,30,Crawford,Corey,CHI,59,56,32,16,10,1533,1405,2.26,.917,0,1,0,3395,2,5,4,121,1361,3294,33,6,3,0.9184,2.20,58.9%,3,7,44,101,4.16,.863,,UFA,2020,"$2,500,000.00","$2,666,667.00",56.6,9.8,1.5,0,11.3,4.9,9.8,1270,1175,.925,35,33,.943,228,197,.864,3,3,16,6,3,2,25,7,6,5,41,13,.317,COREY CRAWFORD,56,1533,1405,1401,2.95,0.9165,0.9141,0.0024,10,Lower body
Feb 27 '84,Shorewood,MN,USA,71,185,L,,,,,30,Curry,John,MIN,2,1,1,0,0,57,53,3.00,.930,0,0,0,80,0,0,0,2,43,60,1,0,0,0.9556,2.00,100.0%,1,2,10,20,6.00,.833,,UFA,2014,"$550,000.00","$550,000.00",1.3,0.9,-0.2,0,0.7,0.7,0.5,40,39,.975,3,2,.667,14,12,.857,,,,,,,,,,,,,,JOHN CURRY,1,57,53,52,4.00,0.9298,0.9067,0.0232,,
Sep 30 '85,Edmundston,NB,CAN,72,192,R,,,,,29,Desjardins,Cedrick,TBL,1,0,0,1,0,13,11,6.67,.846,0,0,2,18,0,0,0,,,,,,,,,,1,2,11,18,6.67,.846,,UFA,2014,"$650,000.00","$650,000.00",0.3,-0.7,0,0,-0.7,-1.0,0.0,13,11,.846,0,0,,0,0,,,,,,,,,,,,,,,CEDRICK DESJARDINS,0,13,11,12,,0.8462,0.9063,-0.0601,,
May 04 '86,Regina,SK,CAN,78,210,L,,2004,1,14,28,Dubnyk,Devan,"EDM, NSH",34,31,11,18,3,945,842,3.43,.891,0,0,6,1802,2,1,1,102,821,1755,11,8,3,0.8895,3.49,35.5%,3,1,21,47,1.28,.955,,UFA,2014,"$3,750,000.00","$875,000.00",30.1,-14.1,-0.5,-0.7,-15.3,-16.3,3.1,762,684,.898,28,23,.821,155,135,.871,0,0,0,0,1,1,7,3,1,1,7,3,.429,DEVAN DUBNYK,31,945,842,863,2.84,0.8910,0.9129,-0.0219,2,Ankle
Apr 09 '85,Newmarket,ON,CAN,74,209,L,,2003,9,291,29,Elliott,Brian,STL,31,25,18,6,2,681,628,1.96,.922,0,2,0,1624,4,0,0,47,569,1437,16,2,2,0.9237,1.96,64.0%,6,6,59,187,1.93,.908,,UFA,2014,"$1,900,000.00","$1,800,000.00",27.1,8.7,1.1,0.3,10.1,6.4,4.8,566,523,.924,14,12,.857,101,93,.921,3,0,11,3,1,1,9,3,4,1,20,6,.300,BRIAN ELLIOTT,25,681,628,622,3.14,0.9222,0.9138,0.0083,,
Jun 19 '80,Saskatoon,SK,CAN,73,195,L,,2000,2,60,34,Ellis,Dan,"DAL, FLA",20,16,5,11,0,514,452,3.62,.879,0,1,0,1027,1,1,1,56,394,917,4,6,1,0.8756,3.66,25.0%,4,6,58,110,3.27,.906,,UFA,2015,"$800,000.00","$900,000.00",17.1,-12.8,0,0.8,-12,-13.1,1.0,413,363,.879,15,13,.867,86,76,.884,1,0,3,0,0,0,0,0,1,0,3,0,.000,DAN ELLIS,16,514,452,468,2.61,0.8794,0.9108,-0.0314,1,Illness
Sep 28 '82,Hamilton,ON,CAN,74,196,L,,2001,4,99,32,Emery,Ray,PHI,28,21,9,12,2,711,642,2.96,.903,0,0,31,1398,2,0,0,57,578,1241,12,2,1,0.9102,2.76,57.1%,7,12,64,157,4.59,.842,,UFA,2014,"$1,650,000.00","$1,650,000.00",23.3,-2.7,-0.3,-2.5,-5.5,-8.8,3.4,561,516,.920,31,26,.839,119,100,.840,0,0,0,0,0,2,7,5,0,2,7,5,.714,RAY EMERY,21,711,642,649,1.93,0.9030,0.9127,-0.0097,5,Lower body
Jun 25 '88,Stockholm,,SWE,70,166,L,,2006,2,46,26,Enroth,Jhonas,BUF,28,26,4,17,5,834,760,2.82,.911,0,0,0,1574,0,1,0,72,738,1535,14,3,1,0.9111,2.81,53.8%,2,2,22,39,3.08,.917,,UFA,2015,"$1,250,000.00","$1,250,000.00",26.2,1.7,-0.5,0,1.1,-1.0,4.8,684,628,.918,22,20,.909,128,112,.875,0,1,3,1,0,0,0,0,0,1,3,1,.333,JHONAS ENROTH,26,834,760,761,1.84,0.9113,0.9128,-0.0015,14,Lower body
Apr 09 '90,Gävle,,SWE,73,189,R,Y,2008,7,196,24,Eriksson,Joacim,VAN,1,0,0,0,0,31,25,10.00,.806,0,0,0,36,0,0,0,,,,,,,,,,1,6,25,36,10.00,.806,EL,RFA,2015,"$925,000.00","$925,000.00",0.6,-2.7,-0.1,0,-2.8,-3.9,-0.2,12,11,.917,1,1,1.000,18,13,.722,,,,,,,,,,,,,,JOACIM ERIKSSON,0,31,25,28,,0.8065,0.9004,-0.0940,,
Aug 08 '82,Kalix,,SWE,72,185,L,,,,,32,Fasth,Viktor,"ANA, EDM",12,12,5,5,2,340,307,2.82,.903,0,0,0,701,0,1,0,33,307,700,6,2,1,0.9029,2.83,50.0%,,,,,,,,UFA,2015,"$2,400,000.00","$2,900,000.00",11.7,-1.6,0.1,-1.6,-3.1,-10.2,1.6,267,241,.903,7,6,.857,66,60,.909,0,0,0,0,1,2,10,5,1,2,10,5,.500,VIKTOR FASTH,12,340,307,310,2.21,0.9029,0.9113,-0.0084,3,"Lower body, Groin"
Nov 28 '84,Sorel,QC,CAN,74,180,L,,2003,1,1,30,Fleury,Marc-Andre,PIT,64,64,39,18,5,1774,1624,2.37,.915,0,0,4,3792,5,2,2,150,1624,3796,37,11,2,0.9154,2.37,57.8%,,,,,,,,UFA,2015,"$5,750,000.00","$5,000,000.00",63.2,9.8,1.1,3.4,14.3,1.0,11.1,1439,1319,.917,44,40,.909,291,265,.911,2,2,11,3,4,0,17,2,6,2,28,5,.179,MARC-ANDRE FLEURY,64,1774,1624,1621,2.84,0.9154,0.9140,0.0014,,
Jul 14 '93,Pittsburgh,PA,USA,75,210,L,Y,2011,2,39,21,Gibson,John,ANA,3,3,3,0,0,87,83,1.33,.954,0,0,0,181,1,0,0,4,83,181,3,0,0,0.954,1.33,100.0%,,,,,,,EL,RFA,2016,"$682,500.00","$894,167.00",3,3.3,0,0,3.4,2.4,0.9,68,64,.941,1,1,1.000,18,18,1.000,,,,,,,,,,,,,,JOHN GIBSON,3,87,83,80,3.65,0.9540,0.9146,0.0395,,
May 16 '77,Montreal,QC,CAN,73,202,L,,1995,1,13,37,Giguere,Jean-Sebastien,COL,22,19,11,6,1,608,555,2.62,.913,0,0,4,1212,2,0,0,44,488,1056,12,3,1,0.9173,2.50,63.2%,3,9,67,156,3.46,.882,,UFA,2014,"$1,500,000.00","$1,500,000.00",20.2,1.8,0,0,1.8,-1.1,3.6,488,449,.920,13,13,1.000,107,93,.869,,,,,,,,,,,,,,JEAN-SEBASTIEN GIGUERE,18,585,537,534,2.87,0.9179,0.9128,0.0052,2,"Back, Illness"
Jan 29 '86,Fussen,,DEU,73,220,L,,2004,3,94,28,Greiss,Thomas,PHX,25,20,10,8,5,626,576,2.29,.920,0,0,0,1312,2,1,1,45,523,1187,13,2,1,0.9208,2.27,65.0%,5,5,53,125,2.40,.914,,UFA,2014,"$750,000.00","$750,000.00",21.9,6.1,0.2,2.1,8.5,7.9,4.3,526,490,.932,24,20,.833,76,66,.868,1,2,11,2,1,0,3,0,2,2,14,2,.143,THOMAS GREISS,20,626,576,571,2.30,0.9201,0.9127,0.0074,,
Nov 25 '91,Rosenheim,,DEU,73,184,L,Y,2010,4,112,23,Grubauer,Philipp,WSH,17,14,6,5,5,469,434,2.38,.925,0,0,0,883,0,0,0,32,383,784,9,2,2,0.9229,2.45,64.3%,3,3,51,99,1.82,.944,EL,RFA,2015,"$550,000.00","$607,222.00",14.7,6.6,-0.4,-0.7,5.5,5.3,3.5,382,354,.927,10,9,.900,77,71,.922,2,2,13,5,0,2,16,5,2,4,29,10,.345,PHILIPP GRUBAUER,14,469,434,431,2.30,0.9254,0.9186,0.0068,,
Jul 31 '92,Aizkraukle,,LVA,76,190,L,Y,2013,5,124,22,Gudlevskis,Kristers,TBL,1,1,1,0,0,38,36,2.00,.947,0,0,0,60,0,0,0,2,36,60,1,0,0,0.9474,2.00,100.0%,,,,,,,EL,RFA,2016,"$610,000.00","$608,333.00",1,1.2,-0.1,0,1.1,0.9,0.4,25,24,.960,5,5,1.000,8,7,.875,,,,,,,,,,,,,,KRISTERS GUDLEVSKIS,1,38,36,35,3.00,0.9474,0.9104,0.0369,,
Oct 24 '84,Danderyd,,SWE,75,192,L,,,,,30,Gustavsson,Jonas,DET,27,26,16,5,4,735,667,2.63,.907,0,0,0,1551,0,1,1,65,650,1505,13,6,2,0.9091,2.59,50.0%,1,3,17,46,3.91,.850,,UFA,2014,"$1,500,000.00","$1,500,000.00",25.9,-0.2,0.2,0.8,0.9,-2.0,3.9,585,535,.915,17,14,.824,133,118,.887,1,1,8,3,1,3,14,3,2,4,22,6,.273,JONAS GUSTAVSSON,26,735,667,672,3.28,0.9075,0.9138,-0.0063,21,"Groin, Knee"
Mar 07 '90,London,ON,CAN,74,171,L,Y,2009,3,77,24,Hackett,Matt,BUF,8,8,1,6,1,239,217,3.10,.908,0,0,0,426,0,0,0,22,217,426,4,1,2,0.9079,3.10,50.0%,,,,,,,,RFA,2014,"$715,000.00","$715,000.00",7.1,-0.2,-0.3,0,-0.5,-1.0,1.3,182,166,.912,0,0,,57,51,.895,,,,,,,,,,,,,,MATT HACKETT,8,239,217,218,1.61,0.9079,0.9135,-0.0055,1,Leg
May 13 '85,Bratislava,,SVK,70,186,L,,2003,9,271,29,Halak,Jaroslav,"STL, WSH",52,50,29,13,7,1385,1275,2.25,.921,0,1,0,2939,5,1,1,105,1247,2852,31,6,5,0.9223,2.21,62.0%,2,5,28,87,3.45,.848,,UFA,2014,"$4,500,000.00","$3,750,000.00",49,14.9,0.5,-1.6,13.8,4.2,9.5,1099,1018,.926,25,22,.880,261,235,.900,0,2,7,5,4,3,22,6,4,5,29,11,.379,JAROSLAV HALAK,50,1385,1275,1267,3.01,0.9206,0.9145,0.0061,3,Illness
Feb 11 '88,White Rock,BC,CAN,73,216,L,Y,,,,26,Hammond,Andrew,OTT,1,0,0,0,0,11,11,0.00,1.000,0,0,0,35,0,0,0,,,,,,,,,,1,0,11,35,0.00,1.000,EL,RFA,2015,"$720,000.00","$720,000.00",0.6,0.9,0.1,0,0.9,0.4,0.2,9,9,1.000,0,0,,2,2,1.000,,,,,,,,,,,,,,ANDREW HAMMOND,0,11,11,10,,1.0000,0.9139,0.0861,,
Jun 18 '84,Regina,SK,CAN,74,194,R,,2002,2,38,30,Harding,Josh,MIN,29,26,18,7,3,690,644,1.65,.933,0,0,0,1668,3,1,0,44,600,1542,21,3,2,0.9317,1.71,80.8%,3,2,44,126,0.95,.957,,UFA,2015,"$2,100,000.00","$1,900,000.00",27.8,14.5,1.3,-0.3,15.5,11.5,5.8,571,537,.940,16,15,.938,103,92,.893,2,0,5,0,2,3,13,6,4,3,18,6,.333,JOSH HARDING,26,690,644,631,2.58,0.9333,0.9138,0.0195,46,"Lower body, Illness, Illness, Leg"
