DOB ,Birth City ,S/P ,Ctry ,HT ,Wt ,C ,Rk ,Draft ,Rnd ,Ovrl ,Age,First Name,Last Name,End Tm,All Tm,GP ,GS ,W,L ,OT ,SA ,Sv ,GAA,SV%,G ,A ,PIM ,MIN,SO ,PSA,PS Sv ,StGA,StSV,StMIN,QS,RBS,PULL,StSV%,StGAA,QS%,GR,ReGA,ReSV,ReMIN,ReGAA,ReSV%,Cap Hit,Days,Actual,GP,GGVT,DGVT,SGVT,GVT,GVS,GPS,GAR,ESA,ESV,ESSV%,SHSA,SHSV,SHSV%,PPSA,PPSV,PPSV%,OTGP,OTSA,OTGA,OTSV%,HSOW,HSOL,HSSA,HSGA,RSOW,RSOL,RSSA,RSGA,SOW,SOL,SSA,SGA,SOSV%,LowS,LowG,MedS,MedG,HighS,HighG,AdjSV%,QoC,Gsupp,ExpSV%,Ginj,Injury,CHIP
Aug 07 '90,Fredericton,NB,CAN,74,195,L,Y,2008,2,34,24,Jake,Allen,STL,STL,37,32,22,7,4,909,830,2.28,.913,0,2,2,2077.0,4,0,0,66,734,1817,18,5,2,.918,2.18,56.3%,5,13,96,260,3.00,.881,0.8,186,0.8,34.6,3.4,1.0,2.3,6.7,6.2,5.3,-3.5,739,678,.917,152,134,.882,18,18,1.000,10,11,2,.818,1,1,6,1,2,1,9,3,3,2,15,4,.733,371,17,241,23,218,39,.920,8.35%,2.90,-.003,,,
Oct 02 '89,Herning,,DNK,75,236,L,,2012,3,87,25,Frederik,Andersen,ANA,ANA,54,53,35,12,5,1436,1313,2.38,.914,0,3,4,3105.7,3,2,0,119,1294,3040,33,8,5,.916,2.35,62.3%,1,4,19,66,3.64,.826,1.15,186,1.15,51.8,7.1,0.7,-1.2,6.6,5.3,8.6,1.4,1174,1080,.920,221,195,.882,41,38,.927,19,34,1,.971,3,2,16,7,3,2,16,4,6,4,32,11,.656,649,26,338,28,326,69,.920,8.37%,3.04,-.002,9,"Head, Leg",112
May 21 '81,Park Ridge,IL,USA,74,184,L,,2001,3,73,33,Craig,Anderson,OTT,OTT,35,35,14,13,8,1134,1047,2.49,.923,0,0,4,2092.5,3,2,2,87,1047,2094,19,2,1,.923,2.49,54.3%,0,0,0,0,0.00,.000,3.188,186,3.188,34.9,12.9,-1.1,0.0,11.8,6.2,8,4.0,916,852,.930,184,163,.886,34,32,.941,12,22,5,.773,1,2,15,4,0,1,5,2,1,3,20,6,.700,554,18,274,18,219,51,.923,8.39%,2.74,.007,19,Hand,544
Jul 25 '87,Salt Lake City,UT,USA,70,183,L,,2006,4,120,27,Richard,Bachman,EDM,EDM,7,4,3,2,0,168,153,2.84,.911,0,0,0,316.7,1,0,0,9,111,239,3,1,0,.925,2.26,75.0%,3,6,42,78,4.62,.875,0.615,72,0.238,5.3,0.0,-0.1,0.5,0.4,0.3,0.9,-1.6,145,136,.938,22,16,.727,1,1,1.000,1,0,0,,0,0,0,0,0,0,2,0,0,0,2,0,1.000,70,1,41,5,42,9,.924,8.44%,4.00,-.005,,,
Feb 13 '78,Helsinki,,FIN,74,194,L,,,,,36,Niklas,Backstrom,MIN,MIN,19,14,5,7,3,452,401,3.05,.887,0,0,2,1004.9,0,0,0,44,323,831,2,4,2,.880,3.18,14.3%,5,7,78,174,2.41,.918,3.417,186,3.417,16.8,-8.5,0.5,-0.2,-8.3,-14.4,1.2,-12.2,371,330,.889,71,62,.873,10,9,.900,5,13,2,.846,0,1,3,1,1,0,3,1,1,1,6,2,.667,197,6,112,12,92,33,.898,8.05%,2.50,-.032,3,Illness,125
Aug 07 '88,Laval,QC,CAN,72,185,L,,2006,1,11,26,Jonathan,Bernier,TOR,TOR,58,55,21,28,7,1735,1583,2.87,.912,0,1,0,3177.2,2,0,0,149,1539,3094,26,11,8,.912,2.89,47.3%,3,3,44,83,2.17,.936,2.9,186,2.9,53,4.1,-1.7,-2.8,-0.4,-5.4,10,0.5,1384,1275,.921,281,245,.872,70,63,.900,11,28,3,.893,2,1,12,3,1,3,14,8,3,4,26,11,.577,690,28,448,40,445,84,.922,8.58%,2.67,-.002,4,"Flu, Leg",71
Jan 03 '87,Bulach,,CHE,76,210,L,,2006,4,106,28,Reto,Berra,COL,COL,19,12,5,4,1,403,370,2.65,.918,0,0,0,748.5,1,0,0,27,283,578,5,3,3,.913,2.80,41.7%,7,6,87,170,2.12,.935,1.45,186,1.45,12.4,2.7,-0.3,0.2,2.5,0.6,2.6,0.2,336,311,.926,51,43,.843,16,16,1.000,4,9,1,.889,2,0,4,1,0,0,0,0,2,0,4,1,.750,160,4,106,8,104,21,.930,8.28%,2.92,.001,1,Head,18
Nov 21 '86,Denver,CO,USA,79,209,L,,2005,3,85,28,Ben,Bishop,TBL,TBL,62,60,40,13,5,1620,1484,2.32,.916,0,4,4,3519.0,4,1,0,130,1464,3440,37,8,5,.918,2.27,61.7%,2,6,20,79,4.56,.769,2.3,186,2.3,58.7,9.7,1.1,-0.8,10.1,6.4,10,8.5,1277,1173,.919,300,273,.910,43,38,.884,11,23,2,.913,2,1,9,3,1,2,8,3,3,3,17,6,.647,688,23,388,34,408,79,.925,8.44%,3.33,.000,5,Lower body,112
Sep 20 '88,Novokuznetsk,,RUS,74,182,L,,,,,26,Sergei,Bobrovsky,CBJ,CBJ,51,49,30,17,3,1632,1498,2.68,.918,0,2,4,2994.4,2,1,1,132,1461,2926,28,3,3,.917,2.71,57.1%,2,2,37,68,1.76,.949,5.625,186,5.625,49.9,12.8,-1.8,6.1,17.1,6.3,10.4,3.3,1285,1189,.925,311,275,.884,36,34,.944,14,40,2,.950,4,1,26,3,3,0,10,1,7,1,36,4,.889,721,26,440,30,337,78,.921,8.55%,2.96,.003,23,"Finger, Groin, Illness",480
May 06 '72,Montreal,QC,CAN,74,220,L,,1990,1,20,42,Martin,Brodeur,STL,STL,7,5,3,3,0,169,152,2.87,.899,0,0,0,355.7,1,0,0,16,128,296,2,2,0,.889,3.24,40.0%,2,1,24,60,1.00,.960,5.22,131,1.838,5.9,-1.4,0.1,0.0,-1.3,-4.4,0.7,-2.9,141,129,.915,23,18,.783,5,5,1.000,0,0,0,,,,,,,,,,,,,,,67,1,55,8,30,8,.911,8.40%,3.40,-.017,,,
